id,du_id,delivery_variable,shortage_variable,variable_type,requires_sum,notes,is_active,created_at,created_by,updated_at,updated_by,demand_variable,variable_type_id,demand_mode,demand_params
14,24_NU3,DL_24_NU3,SHRTG_24_NU3,delivery,False,Zone 24 Non-project Urban 3,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_24_NU3,,sv,
15,25_PU,DL_25_PU,SHRTG_25_PU,delivery,False,Zone 25 Project Urban,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_25_PU,,sv,
16,26N_NU1,DL_26N_NU1,SHRTG_26N_NU1,delivery,True,Zone 26N Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26N_NU1,,sv,
17,26N_NU2,D_WTPBJM_26N_NU2,SHRTG_26N_NU2,delivery,False,Zone 26N Non-project Urban 2,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26N_NU2,,sv,
18,26N_NU3,DL_26N_NU3,SHRTG_26N_NU3,delivery,False,Zone 26N Non-project Urban 3,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26N_NU3,,sv,
19,26N_PU1,D_WTPRSV_26N_PU1,SHRTG_26N_PU1,delivery,False,Zone 26N Project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26N_PU1,,sv,
20,26N_PU2,DL_26N_PU2,SHRTG_26N_PU2,delivery,False,Zone 26N Project Urban 2,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26N_PU2,,sv,
21,26N_PU3,DL_26N_PU3,SHRTG_26N_PU3,delivery,False,Zone 26N Project Urban 3,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26N_PU3,,sv,
22,26S_NU1,DL_26S_NU1,SHRTG_26S_NU1,delivery,True,Zone 26S Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26S_NU1,,sv,
23,26S_NU3,DL_26S_NU3,SHRTG_26S_NU3,delivery,False,Zone 26S Non-project Urban 3,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26S_NU3,,sv,
24,26S_PU1,D_WTPFOL_26S_PU1,SHRTG_26S_PU1,delivery,False,Zone 26S Project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26S_PU1,,sv,
25,26S_PU2,D_WTPBJM_26S_PU2,SHRTG_26S_PU2,delivery,False,Zone 26S Project Urban 2,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26S_PU2,,sv,
26,26S_PU4,D_WTPSAC_26S_PU4,SHRTG_26S_PU4,delivery,False,Zone 26S Project Urban 4,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26S_PU4,,sv,
27,26S_PU5,D_WTPVNY_26S_PU5,SHRTG_26S_PU5,delivery,False,Zone 26S Project Urban 5,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26S_PU5,,sv,
28,26S_PU6,D_WTPVNY_26S_PU6,SHRTG_26S_PU6,delivery,False,Zone 26S Project Urban 6,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_26S_PU6,,sv,
29,50_PU,DL_50_PU,GW_SHORT_50_PU,delivery,True,Zone 50 Project Urban - uses GW_SHORT,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_50_PU,,sv,
30,60N_NU1,D_MOK035_60N_NU1,SHRTG_60N_NU1,delivery,False,Zone 60N Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_60N_NU1,,sv,
31,60N_NU2,D_RNCHO_60N_NU2,GW_SHORT_60N_NU2,delivery,False,Zone 60N Non-project Urban 2 - uses GW_SHORT,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_60N_NU2,,sv,
32,60S_NU1,DL_60S_NU1,GW_SHORT_60S_NU1,delivery,True,Zone 60S Non-project Urban 1 - uses GW_SHORT,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_60S_NU1,,sv,
33,61_NU2,DL_61_NU2,GW_SHORT_61_NU2,delivery,False,Zone 61 Non-project Urban 2 - uses GW_SHORT,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_61_NU2,,sv,
34,62_NU,DL_62_NU,GW_SHORT_62_NU,delivery,False,Zone 62 Non-project Urban - uses GW_SHORT,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_62_NU,,sv,
35,90_PU,DL_90_PU,GW_SHORT_90_PU,delivery,False,Zone 90 Project Urban - uses GW_SHORT,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_90_PU,,sv,
36,ELDID_NU1,DL_ELDID_NU1,SHRTG_ELDID_NU1,delivery,False,El Dorado ID Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_ELDID_NU1,,sv,
37,ELDID_NU2,DL_ELDID_NU2,SHRTG_ELDID_NU2,delivery,False,El Dorado ID Non-project Urban 2,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_ELDID_NU2,,sv,
38,ELDID_NU3,DL_ELDID_NU3,,delivery,False,El Dorado ID Non-project Urban 3 - no shortage var found,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_ELDID_NU3,,sv,
39,GDPUD_NU,DL_GDPUD_NU,SHRTG_GDPUD_NU,delivery,False,Georgetown Divide PUD Non-project Urban,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_GDPUD_NU,,sv,
40,PCWA3,DL_PCWA3,SHRTG_PCWA3,delivery,False,Placer County Water Agency 3,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_PCWA3,,sv,
41,71_NU,GP_71_NU,GW_SHORT_71_NU,gw_pumping,False,"Zone 71 Non-project Urban - groundwater only, no surface delivery",True,2026-02-03 22:13:39.819958+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_71_NU,,sv,
42,72_NU,GP_72_NU,GW_SHORT_72_NU,gw_pumping,False,"Zone 72 Non-project Urban - groundwater only, no surface delivery",True,2026-02-03 22:13:39.819958+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_72_NU,,sv,
43,72_PU,D_XCC025_72_PA,GW_SHORT_72_PU,gw_pumping,False,"Zone 72 Project Urban - groundwater only, no surface delivery",True,2026-02-03 22:13:39.819958+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_72_PU,,sv,
44,CSB038,D_CSB038_OBISPO_PMI,SHORT_D_CSB038_OBISPO_PMI,delivery,False,San Luis Obispo - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_CSB038_OBISPO_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_35']}
45,CSB103,D_CSB103_BRBRA_PMI,SHORT_D_CSB103_BRBRA_PMI,delivery,False,Santa Barbara - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_CSB103_BRBRA_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_34']}
46,CSTIC,D_CSTIC_VNTRA_PMI,SHORT_D_CSTIC_VNTRA_PMI,delivery,False,Ventura (Castaic) - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_VNTRA_PMI,,perdv,"{'perdv_vars': ['PERDV_SWP_39', 'PERDV_SWP_38']}"
47,ESB324,D_ESB324_AVEK_PMI,SHORT_D_ESB324_AVEK_PMI,delivery,False,Antelope Valley-East Kern - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_ESB324_AVEK_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_4']}
48,ESB347,D_ESB347_PLMDL_PMI,SHORT_D_ESB347_PLMDL_PMI,delivery,False,Palmdale - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_ESB347_PLMDL_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_29']}
49,ESB414,D_ESB414_BRDNO_PMI,SHORT_D_ESB414_BRDNO_PMI,delivery,False,San Bernardino - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_ESB414_BRDNO_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_30']}
50,ESB415,D_ESB415_GABRL_PMI,SHORT_D_ESB415_GABRL_PMI,delivery,False,San Gabriel - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_ESB415_GABRL_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_31']}
51,ESB420,D_ESB420_GRGNO_PMI,SHORT_D_ESB420_GRGNO_PMI,delivery,False,San Gorgonio - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_ESB420_GRGNO_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_32']}
52,SBA029,D_SBA029_ACWD_PMI,SHORT_D_SBA029_ACWD_PMI,delivery,False,Alameda County Water District - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_SBA029_ACWD_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_3']}
53,SBA036,D_SBA036_SCVWD_PMI,SHORT_D_SBA036_SCVWD_PMI,delivery,False,Santa Clara Valley WD - SWP contractor,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_SBA036_SCVWD_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_35']}
54,SCVWD,D_SBA036_SCVWD_PMI,SHORT_D_SBA036_SCVWD_PMI,delivery,False,Santa Clara Valley WD - alias for SBA036,True,2026-02-03 22:13:39.821936+00:00,2,2026-03-14 22:18:34.503785+00:00,2,DEM_D_SBA036_SCVWD_PMI,,perdv,{'perdv_vars': ['PERDV_SWP_35']}
55,BNCIA,D_WTPBNC_BNCIA,,delivery,False,Benicia - water treatment plant delivery,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_BNCIA,,sv,
56,CCWD,D_CCC019_CCWD,,delivery,False,Contra Costa WD - single arc delivery,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,,,,
57,GRSVL,D_CSD014_GRSVL,SHRTG_GRSVL,delivery,True,"Grass Valley - multiple arcs, has shortage var",True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_GRSVL,,sv,
58,MWD,DEL_SWP_MWD,SHORT_SWP_MWD,delivery,False,Metropolitan Water District - aggregate variable,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,TABLEA_CONTRACT_MWD,,table_a,
59,NAPA,D_BKR004_NBA009_NAPA_PMI,,delivery,False,Napa - NBA arc PMI delivery,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,,,,
60,NAPA2,D_BRYSA_NAPA2,,delivery,False,Napa 2 - BRYSA arc delivery,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_NAPA2,,sv,
61,PLMAS,D_BGC002_PLMAS,,delivery,False,Plumas - BGC arc delivery,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,,,,
62,SUISN,D_WTPCMT_SUISN,,delivery,False,Suisun - CMT water treatment plant,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_SUISN,,sv,
63,TVAFB,D_WTPTAB_TVAFB,,delivery,False,Travis AFB - TAB water treatment plant,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_TVAFB,,sv,
64,VLLJO,D_WTPFMH_VLLJO,,delivery,False,Vallejo - FMH water treatment plant,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_VLLJO,,sv,
65,WLDWD,D_NWT013_WLDWD,SHRTG_WLDWD,delivery,False,Wildwood - NWT arc delivery,True,2026-02-03 22:13:39.824379+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_WLDWD,,sv,
66,AMADR,D_TBAUD_AMADR_NU,,delivery,True,Amador - sum of TBAUD and TGC003 arcs,True,2026-02-03 22:13:39.826751+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_AMADR_NU,,dv_sum,"{'columns': ['DEMAND_AMADR_CAWP_', 'DEMAND_AMADR_AWS_']}"
67,AMCYN,D_WTPAMC_AMCYN,,delivery,True,American Canyon - sum of WTPAMC and WTPJAC arcs,True,2026-02-03 22:13:39.826751+00:00,2,2026-03-14 22:18:34.503785+00:00,2,,,,
68,ANTOC,D_CCC007_ANTOC,,delivery,True,Antioch - sum of CCC007 and SJR006 arcs,True,2026-02-03 22:13:39.826751+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_ANTOC,,constant_cfs,{'cfs_value': 25}
69,FRFLD,D_WTPNBR_FRFLD,,delivery,True,Fairfield - sum of WTPNBR and WTPWMN arcs,True,2026-02-03 22:13:39.826751+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_FRFLD,,sv,
70,JLIND,NOT_FOUND,,unknown,False,No matching CalSim variables found in s0020 output,True,2026-02-03 22:13:39.828969+00:00,2,2026-03-14 22:18:34.503785+00:00,2,,,,
71,UPANG,NOT_FOUND,,unknown,False,No matching CalSim variables found in s0020 output,True,2026-02-03 22:13:39.828969+00:00,2,2026-03-14 22:18:34.503785+00:00,2,,,,
74,60N_PU1,D_FSC025_60N_PU,,PU,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_60N_PU,,sv,
75,60S_PU,NOT_FOUND,,PU,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_60S_PU,,sv,
76,61_PU1,NOT_FOUND,,PU,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_61_PU,,sv,
77,61_PU2,NOT_FOUND,,PU,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_61_PU2,,sv,
78,64_PU,NOT_FOUND,,PU,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_64_PU,,sv,
79,65_PU,NOT_FOUND,,PU,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_65_PU,,sv,
80,70_PU1,NOT_FOUND,,PU,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_70_PU,,sv,
81,72_PU1,NOT_FOUND,,PU,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_72_PU,,sv,
82,50_PA1,NOT_FOUND,,PA,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_50_PA1,,sv,
83,50_PA2,D_CAA002_50_PA2,,PA,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_50_PA2,,sv,
84,60N_PA,NOT_FOUND,,PA,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_60N_PA,,sv,
85,60S_PA,NOT_FOUND,,PA,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_60S_PA,,sv,
86,61_PA,NOT_FOUND,,PA,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_61_PA,,sv,
87,63_PA,NOT_FOUND,,PA,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_63_PA,,sv,
88,63_PR,NOT_FOUND,,PR,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_63_PR,,sv,
89,64_PA,NOT_FOUND,,PA,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_64_PA,,sv,
90,65_PA,NOT_FOUND,,PA,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_65_PA,,sv,
91,70_PA,NOT_FOUND,,PA,False,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_70_PA,,sv,
92,71_PA,NOT_FOUND,,PA,True,,True,2026-02-04 11:27:10.770572+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_71_PA,,sv,
