short_code,schematic_type,type,sub_type,hydrologic_region_id,network_version_id,is_active,connectivity_status,has_gis,from_node,to_node
C_BCC006,arc,CH,ST,1,12,True,connected,True,,
C_BCC004,arc,CH,ST,1,12,True,connected,True,,
C_EPARK,arc,CH,ST,1,12,True,connected,True,,
C_SGRGE,arc,CH,ST,1,12,True,connected,True,,
C_BLKBT,arc,CH,ST,1,12,True,connected,True,,
C_STN026,arc,CH,ST,1,12,True,connected,True,,
C_STN021,arc,CH,ST,1,12,True,connected,True,,
C_STN014,arc,CH,ST,1,12,True,connected,True,,
C_STN004,arc,CH,ST,1,12,True,connected,True,,
C_BTC003,arc,CH,ST,1,12,True,connected,True,,
C_HON021,arc,CH,ST,1,12,True,connected,True,,
C_WBF039,arc,CH,ST,1,12,True,connected,True,,
C_NFF008,arc,CH,ST,1,12,True,connected,True,,
C_FTR072,arc,CH,ST,1,12,True,connected,True,,
C_FTR067,arc,CH,ST,1,12,True,connected,True,,
C_FTR063,arc,CH,ST,1,12,True,connected,True,,
C_FTR059,arc,CH,ST,1,12,True,connected,True,,
C_FTR051,arc,CH,ST,1,12,True,connected,True,,
C_FTR048,arc,CH,ST,1,12,True,connected,True,,
C_FTR045,arc,CH,ST,1,12,True,connected,True,,
C_FTR039,arc,CH,ST,1,12,True,connected,True,,
C_FTR036,arc,CH,ST,1,12,True,connected,True,,
C_FTR030,arc,CH,ST,1,12,True,connected,True,,
C_FTR028,arc,CH,ST,1,12,True,connected,True,,
C_FTR025,arc,CH,ST,1,12,True,connected,True,,
C_FTR021,arc,CH,ST,1,12,True,connected,True,,
C_FTR018,arc,CH,ST,1,12,True,connected,True,,
C_FTR016,arc,CH,ST,1,12,True,connected,True,,
C_MFF087,arc,CH,ST,1,12,True,connected,True,,
C_FTR014,arc,CH,ST,1,12,True,connected,True,,
C_FTR012,arc,CH,ST,1,12,True,connected,True,,
C_FTR003,arc,CH,ST,1,12,True,connected,True,,
C_BTC048,arc,CH,ST,1,12,True,connected,True,,
C_BTC036,arc,CH,ST,1,12,True,connected,True,,
C_BTC032,arc,CH,ST,1,12,True,connected,True,,
C_BTC029,arc,CH,ST,1,12,True,connected,True,,
C_BTC024,arc,CH,ST,1,12,True,connected,True,,
C_BTC015,arc,CH,ST,1,12,True,connected,True,,
C_BTC012,arc,CH,ST,1,12,True,connected,True,,
C_BTC007,arc,CH,ST,1,12,True,connected,True,,
C_ENGLB,arc,CH,ST,1,12,True,connected,True,,
C_YUB024,arc,CH,ST,1,12,True,connected,True,,
C_YUB022,arc,CH,ST,1,12,True,connected,True,,
C_YUB013,arc,CH,ST,1,12,True,connected,True,,
C_YUB011,arc,CH,ST,1,12,True,connected,True,,
C_YUB002,arc,CH,ST,1,12,True,connected,True,,
C_YUB014,arc,CH,ST,1,12,True,connected,True,,
C_MERLC,arc,CH,ST,1,12,True,connected,True,,
C_FDC006,arc,CH,ST,1,12,True,connected,True,,
C_BRR060,arc,CH,ST,1,12,True,connected,True,,
C_BRR049,arc,CH,ST,1,12,True,connected,True,,
C_BRR004,arc,CH,ST,1,12,True,connected,True,,
C_CMPFW,arc,CH,ST,1,12,True,connected,True,,
R_RFS11_WWC006,arc,RT,,1,12,True,connected,True,,
C_CCH006,arc,CH,ST,1,12,True,connected,True,,
C_CCH030,arc,CH,ST,1,12,True,connected,True,,
C_CCH023,arc,CH,ST,1,12,True,connected,True,,
C_CCH017,arc,CH,ST,1,12,True,connected,True,,
R_16_SA_DWRPS1,arc,RT,,1,12,True,connected,True,,
C_FTR053,arc,CH,ST,1,12,True,connected,True,,
C_SJR256,arc,CH,ST,2,12,True,connected,True,,
C_CCH012,arc,CH,ST,1,12,True,connected,True,,
C_CCH003,arc,CH,ST,1,12,True,connected,True,,
C_PTH030,arc,CH,ST,1,12,True,connected,True,,
C_PTH024,arc,CH,ST,1,12,True,connected,True,,
C_PTH020,arc,CH,ST,1,12,True,connected,True,,
C_PTH015,arc,CH,ST,1,12,True,connected,True,,
C_PTH011,arc,CH,ST,1,12,True,connected,True,,
C_PTH007,arc,CH,ST,1,12,True,connected,True,,
C_TRNTY,arc,CH,ST,1,12,True,connected,True,,
C_CBD049,arc,CH,CL,1,12,True,connected,True,,
C_CBD044,arc,CH,CL,1,12,True,connected,True,,
C_CBD041,arc,CH,CL,1,12,True,connected,True,,
C_CBD037,arc,CH,CL,1,12,True,connected,True,,
C_CBD031,arc,CH,CL,1,12,True,connected,True,,
C_CBD028,arc,CH,CL,1,12,True,connected,True,,
C_CBD023,arc,CH,CL,1,12,True,connected,True,,
C_CBD018,arc,CH,CL,1,12,True,connected,True,,
C_CBD001,arc,CH,CL,1,12,True,connected,True,,
D_SAC207_GCC007,arc,D,,1,12,True,connected,True,,
C_GCC007,arc,CH,CL,1,12,True,connected,True,,
C_GCC010,arc,CH,CL,1,12,True,connected,True,,
C_GCC015,arc,CH,CL,1,12,True,connected,True,,
C_GCC022,arc,CH,CL,1,12,True,connected,True,,
C_GCC027,arc,CH,CL,1,12,True,connected,True,,
C_GCC032,arc,CH,CL,1,12,True,connected,True,,
C_GCC036,arc,CH,CL,1,12,True,connected,True,,
C_GCC039,arc,CH,CL,1,12,True,connected,True,,
C_GCC042,arc,CH,CL,1,12,True,connected,True,,
C_GCC046,arc,CH,CL,1,12,True,connected,True,,
C_GCC050,arc,CH,CL,1,12,True,connected,True,,
C_GCC056,arc,CH,CL,1,12,True,connected,True,,
C_GCC065,arc,CH,CL,1,12,True,connected,True,,
C_TCC085,arc,CH,CL,1,12,True,connected,True,,
D_SAC240_TCC001,arc,D,,1,12,True,connected,True,,
C_TCC022,arc,CH,CL,1,12,True,connected,True,,
C_TCC031,arc,CH,CL,1,12,True,connected,True,,
C_TCC036,arc,CH,CL,1,12,True,connected,True,,
C_TCC062,arc,CH,CL,1,12,True,connected,True,,
C_TCC066,arc,CH,CL,1,12,True,connected,True,,
C_TCC001,arc,CH,CL,1,12,True,connected,True,,
C_ABN026,arc,CH,ST,1,12,True,connected,True,,
C_FOLSM,arc,CH,ST,1,12,True,connected,True,,
C_AMR022,arc,CH,ST,1,12,True,connected,True,,
C_AMR020,arc,CH,ST,1,12,True,connected,True,,
C_AMR015,arc,CH,ST,1,12,True,connected,True,,
C_AMR004,arc,CH,ST,1,12,True,connected,True,,
C_FSC007,arc,CH,CL,1,12,True,connected,True,,
R_17N_NA_BTC003,arc,RT,,1,12,True,connected,True,,
R_17N_NR_BTC003,arc,RT,,1,12,True,connected,True,,
SR_11_BSL001,arc,SR,,1,12,True,connected,True,,
D_BTC012_09_SA2,arc,D,,1,12,True,connected,True,,
C_SAC050,arc,CH,ST,1,12,True,connected,True,,
D_FPT013_WTPVNY,arc,D,,1,12,True,connected,True,,
D_TCC062_GCC036,arc,D,,1,12,True,connected,True,,
D_GCC027_08N_SA2,arc,D,,1,12,True,connected,True,,
D_GCC027_08N_PR1,arc,D,,1,12,True,connected,True,,
R_08N_PR1_CBD049,arc,RT,,1,12,True,connected,True,,
R_08N_NA_CBD049,arc,RT,,1,12,True,connected,True,,
R_08N_SA2_CBD049,arc,RT,,1,12,True,connected,True,,
D_SAC178_08N_SA1,arc,D,,1,12,True,connected,True,,
R_08N_SA1_CBD044,arc,RT,,1,12,True,connected,True,,
D_CBD049_08N_SA1,arc,D,,1,12,True,connected,True,,
R_07S_PA_CBD028,arc,RT,,1,12,True,connected,True,,
R_07S_NA_CBD044,arc,RT,,1,12,True,connected,True,,
D_TCC081_07S_PA,arc,D,,1,12,True,connected,True,,
D_GCC056_08S_PR,arc,D,,1,12,True,connected,True,,
D_GCC056_08S_SA2,arc,D,,1,12,True,connected,True,,
D_CBD041_08S_SA2,arc,D,,1,12,True,connected,True,,
R_08S_SA2_CBD037,arc,RT,,1,12,True,connected,True,,
D_CBD041_08S_SA1,arc,D,,1,12,True,connected,True,,
R_08S_SA1_CBD031,arc,RT,,1,12,True,connected,True,,
R_08S_PR_CBD031,arc,RT,,1,12,True,connected,True,,
C_BSL004,arc,CH,ST,1,12,True,connected,True,,
C_SBP031,arc,CH,BP,1,12,True,connected,True,,
C_MOK014,arc,CH,ST,1,12,True,connected,True,,
C_DSC035,arc,CH,ST,2,12,True,connected,True,,
C_DSC026,arc,CH,ST,2,12,True,connected,True,,
C_DSC023,arc,CH,ST,2,12,True,connected,True,,
C_DSC012,arc,CH,ST,2,12,True,connected,True,,
C_CSM052,arc,CH,ST,2,12,True,connected,True,,
C_CSM026,arc,CH,ST,2,12,True,connected,True,,
C_CSM021,arc,CH,ST,2,12,True,connected,True,,
D_SAC159_08S_SA1,arc,D,,1,12,True,connected,True,,
D_FTR039_SEC009,arc,D,,1,12,True,connected,True,,
D_FSC025_60N_PU,arc,D,,2,12,True,connected,True,,
D_CBD037_08S_PR,arc,D,,1,12,True,connected,True,,
R_08S_SA3_RFS8S,arc,RT,,1,12,True,connected,True,,
D_SJR105_71_NA1,arc,D,,2,12,True,connected,True,,
R_71_NA1_SJR091,arc,RT,,2,12,True,connected,True,,
D_TCC022_04_PA2,arc,D,,1,12,True,connected,True,,
C_CSM016,arc,CH,ST,2,12,True,connected,True,,
C_CSM005,arc,CH,ST,2,12,True,connected,True,,
SR_20_PTH024,arc,SR,,1,12,True,connected,True,,
SR_25_PTH024,arc,SR,,1,12,True,connected,True,,
SR_05_SAC196,arc,SR,,1,12,True,connected,True,,
D_SAC030_MOK014,arc,D,,1,12,True,connected,True,,
C_BTC041,arc,CH,ST,1,12,True,connected,True,,
C_BTC045,arc,CH,ST,1,12,True,connected,True,,
C_DEE020,arc,CH,ST,2,12,True,connected,True,,
C_FSC013,arc,CH,CL,1,12,True,connected,True,,
C_FSC025,arc,CH,CL,2,12,True,connected,True,,
D_NTOMA_FSC003,arc,D,,1,12,True,connected,True,,
I_LWSTN,arc,IN,LI,1,12,True,connected,True,,
D_LWSTN_CCT011,arc,D,,1,12,True,connected,True,,
D_WKYTN_WTPCSD,arc,D,,1,12,True,connected,True,,
D_WTPCSD_02_PU,arc,D,,1,12,True,connected,True,,
D_SHSTA_WTPJMS,arc,D,,1,12,True,connected,True,,
D_WTPJMS_03_PU1,arc,D,,1,12,True,connected,True,,
C_FRS048,arc,CH,CL,2,12,True,connected,True,,
C_FRS046,arc,CH,ST,2,12,True,connected,True,,
D_MOK035_WTPDWS,arc,D,,2,12,True,connected,True,,
C_PARDE,arc,CH,ST,2,12,True,connected,True,,
I_HNSLY,arc,IN,LI,2,12,True,connected,True,,
D_XCC025_72_PR6,arc,D,,2,12,True,connected,True,,
D_ARY010_72_PR4,arc,D,,2,12,True,connected,True,,
D_CAA143_90_PA2,arc,D,,2,12,True,connected,True,,
C_TUO047,arc,CH,ST,2,12,True,connected,True,,
C_PEDRO,arc,CH,ST,2,12,True,connected,True,,
C_TUR001,arc,CH,CL,2,12,True,connected,True,,
C_MDS003,arc,CH,CL,2,12,True,connected,True,,
C_MCD005,arc,CH,ST,2,12,True,connected,True,,
C_MCD014,arc,CH,ST,2,12,True,connected,True,,
C_MCD018,arc,CH,ST,2,12,True,connected,True,,
C_MCD028,arc,CH,ST,2,12,True,connected,True,,
C_MCD032,arc,CH,ST,2,12,True,connected,True,,
C_MCD042,arc,CH,ST,2,12,True,connected,True,,
C_MCD046,arc,CH,ST,2,12,True,connected,True,,
D_SSJ004_NMC000,arc,D,CL,2,12,True,connected,True,,
D_NMC014_61_PA1,arc,D,CL,2,12,True,connected,True,,
D_MIO023_LDC021,arc,D,,1,12,True,connected,True,,
C_LDC029,arc,CH,ST,1,12,True,connected,True,,
C_SBP028,arc,CH,BP,1,12,True,connected,True,,
C_SBP024,arc,CH,BP,1,12,True,connected,True,,
C_SBP021,arc,CH,BP,1,12,True,connected,True,,
C_SBP018,arc,CH,BP,1,12,True,connected,True,,
C_YBP037,arc,CH,BP,1,12,True,connected,True,,
C_YBP032,arc,CH,BP,1,12,True,connected,True,,
C_YBP026,arc,CH,BP,1,12,True,connected,True,,
C_YBP023,arc,CH,BP,1,12,True,connected,True,,
C_YBP020,arc,CH,BP,1,12,True,connected,True,,
C_YBP016,arc,CH,BP,1,12,True,connected,True,,
C_YBP014,arc,CH,BP,1,12,True,connected,True,,
C_YBP011,arc,CH,BP,1,12,True,connected,True,,
C_CSL005a,arc,CH,BP,1,12,True,connected,True,,
C_CHIPPS,arc,CH,,1,12,True,connected,True,,
C_CHCGO,arc,CH,,1,12,True,connected,True,,
R_50_PA1_SJR056,arc,RT,,2,12,True,connected,True,,
D_SJR062_50_PA1,arc,D,,2,12,True,connected,True,,
D_DMC021_50_PA1,arc,D,,2,12,True,connected,True,,
C_NFY029,arc,CH,ST,1,12,True,connected,True,,
C_NFY002,arc,CH,ST,1,12,True,connected,True,,
C_MFY005,arc,CH,ST,1,12,True,connected,True,,
D_WTPDGT_50_PU,arc,D,,2,12,True,connected,True,,
R_61_PA1_RFS61C,arc,RT,,2,12,True,connected,True,,
R_RFS61C_SJR056,arc,RT,,2,12,True,connected,True,,
D_SJR070_61_NA6,arc,D,,2,12,True,connected,True,,
D_TUO017_61_NA3,arc,D,,2,12,True,connected,True,,
C_FRS020,arc,CH,ST,2,12,True,connected,True,,
C_FRS016,arc,CH,ST,2,12,True,connected,True,,
C_FRS025,arc,CH,ST,2,12,True,connected,True,,
C_FRS032,arc,CH,ST,2,12,True,connected,True,,
C_FRS036,arc,CH,ST,2,12,True,connected,True,,
C_FRS039,arc,CH,ST,2,12,True,connected,True,,
C_CHW006,arc,CH,ST,2,12,True,connected,True,,
C_CHW011,arc,CH,ST,2,12,True,connected,True,,
C_CHW017,arc,CH,ST,2,12,True,connected,True,,
C_CHW021,arc,CH,ST,2,12,True,connected,True,,
C_CMCHE,arc,CH,ST,2,12,True,connected,True,,
I_CLV026,arc,IN,LI,2,12,True,connected,True,,
C_WEC000,arc,CH,CL,1,12,True,connected,True,,
D_SAC109_08S_SA3,arc,D,,1,12,True,connected,True,,
C_ABN024,arc,CH,ST,1,12,True,connected,True,,
C_LBC038,arc,CH,CL,1,12,True,connected,True,,
D_SJR180_ARY010,arc,D,,2,12,True,connected,True,,
D_ARY010_72_XA1,arc,D,,2,12,True,connected,True,,
D_CAA109_73_PA3,arc,D,,2,12,True,connected,True,,
R_72_PR3_SAL006,arc,RT,,2,12,True,connected,True,,
C_DCK012,arc,CH,ST,1,12,True,connected,True,,
D_LST004_OWC000,arc,D,CL,1,12,True,connected,True,,
D_MNRRH_13_NA,arc,D,,1,12,True,connected,True,,
C_WWC006,arc,CH,CL,1,12,True,connected,True,,
I_LDC029,arc,IN,LI,1,12,True,connected,True,,
R_15S_NA1_DHC001,arc,RT,,1,12,True,connected,True,,
D_WKYTN_WTPBUK,arc,D,,1,12,True,connected,True,,
C_COT033,arc,CH,ST,2,12,True,connected,True,,
D_LBC043_MRM001,arc,D,CL,1,12,True,connected,True,,
D_CMBIE_CBC000,arc,D,CL,1,12,True,connected,True,,
C_CBC000,arc,CH,CL,1,12,True,connected,True,,
C_CCK038,arc,CH,ST,1,12,True,connected,True,,
C_CCK007,arc,CH,CL,1,12,True,connected,True,,
D_MNRRH_WTPMNR,arc,D,,1,12,True,connected,True,,
D_WTPMNR_13_NU1,arc,D,,1,12,True,connected,True,,
C_ABN000,arc,CH,CL,1,12,True,connected,True,,
C_SAC148,arc,CH,ST,1,12,True,connected,True,,
CT_COLUSA,arc,CT,,1,12,True,connected,True,,
C_CBD005,arc,CH,CL,1,12,True,connected,True,,
I_DEE023,arc,IN,LI,2,12,True,connected,True,,
C_SAC271,arc,CH,ST,1,12,True,connected,True,,
C_ANT011,arc,CH,ST,1,12,True,connected,True,,
CT_VERONA,arc,CT,,1,12,True,connected,True,,
D_OROVL_13_NU1,arc,D,CL,1,12,True,connected,True,,
D_FTR008_16_SA,arc,D,,1,12,True,connected,True,,
C_BRR061,arc,CH,ST,1,12,True,connected,True,,
I_TUO054,arc,IN,LI,2,12,True,connected,True,,
I_NFA022,arc,IN,LI,1,12,True,connected,True,,
I_CWD018,arc,IN,LI,1,12,True,connected,True,,
C_SBP014,arc,CH,BP,1,12,True,connected,True,,
SR_03_SAC277,arc,SR,,1,12,True,connected,True,,
C_SAC229,arc,CH,ST,1,12,True,connected,True,,
R_04_NU1_SAC240,arc,RT,,1,12,True,connected,True,,
R_04_NU2_SAC217,arc,RT,,1,12,True,connected,True,,
C_MNS000,arc,CH,,1,12,True,connected,True,,
I_MNS000,arc,IN,LI,1,12,True,connected,True,,
D_EPARK_SCKWD,arc,D,,1,12,True,connected,True,,
SR_06_SAC185,arc,SR,,1,12,True,connected,True,,
SR_07N_SAC185,arc,SR,,1,12,True,connected,True,,
SR_08N_SAC185,arc,SR,,1,12,True,connected,True,,
SR_09_SAC185,arc,SR,,1,12,True,connected,True,,
C_SAC121,arc,CH,ST,1,12,True,connected,True,,
C_CBD000,arc,CH,CL,1,12,True,connected,True,,
SR_08S_CBD038,arc,SR,,1,12,True,connected,True,,
SR_07S_CBD028,arc,SR,,1,12,True,connected,True,,
D_CCH052_20_NA1,arc,D,,1,12,True,connected,True,,
D_PSC024_SIDSH,arc,D,,1,12,True,connected,True,,
C_SAC066,arc,CH,ST,1,12,True,connected,True,,
C_SAC075,arc,CH,ST,1,12,True,connected,True,,
SR_25_PTH021,arc,SR,,1,12,True,connected,True,,
SR_20_PTH021,arc,SR,,1,12,True,connected,True,,
SR_20_CCH032,arc,SR,,1,12,True,connected,True,,
SR_20_CCH017,arc,SR,,1,12,True,connected,True,,
SR_07S_YBP034,arc,SR,,1,12,True,connected,True,,
