"DU_ID","WBA_ID","hydrologic_region","Dups","Class","CS3_Type","total_acres","polygon_count","source","model_source","agency","provider","gw","sw","point_of_diversion","diversion_arc","river_reach","river_mile_start","river_mile_end","bank","area_acres","annual_diversion_taf","demand_unit","table_id","has_gis_data"
"06_NA","06","SAC","0","Agriculture","","11100.0859706","1","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","06_NA","","True"
"06_PA","06","SAC","0","Agriculture","PA","25168.2567057","1","geopackage,calsim_report","calsim3","Orland Unit WUA","Reclamation","1","1","Stony Creek, via North and South canals","","","","","","","","06_PA","","True"
"07N_NA","07N","SAC","0","Agriculture","","225644.88225742002","3","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","07N_NA","","True"
"07N_PA","07N","SAC","0","Agriculture","PA","58572.024575819996","4","geopackage,calsim_report","calsim3","Glide WD, Holthouse WD (65% of total), Kanawha WD, Orland- Artois WD","CVP","1","1","Tehama-Colusa Canal","","","","","","","","07N_PA","","True"
"07S_NA","07S","SAC","0","Agriculture","","296733.3215763888","7","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","07S_NA","","True"
"CVP","","SAC","","Agriculture","","","0","calsim_report","calsim3","","","1","1","Tehama-Colusa Canal","","","","","","","","CVP","","False"
"08N_NA","08N","SAC","0","Agriculture","","34040.70449247","3","geopackage,calsim_report","calsim3","Non-district","","1","1","Sacramento River","D_SAC185_08N_NA","Glenn-Colusa Irrigation District Intake to Hamilton Bend","207.0","154.0","Right","7200.0","14","08N_NA","","True"
"08N_PA","08N","SAC","0","Agriculture","PA","4491.14724164","1","geopackage,calsim_report","calsim3","Colusa Drain MWC (8% of total)","CVP","1","1","Colusa Basin Drain","","","","","","","","08N_PA","","True"
"08N_SA1","08N","SAC","0","Agriculture","SA","37604.981511945596","9","geopackage,calsim_report","calsim3","Maxwell ID (5% of total), Princeton-Codora-Glenn ID, Provident ID, misc. settlement contractors","CVP","1","1","Sacramento River","","","","","","","","08N_SA1","","True"
"08N_SA2","08N","SAC","0","Agriculture","SA","84015.080915674","2","geopackage,calsim_report","calsim3","Glenn-Colusa ID (55% of total)","CVP","1","1","Glenn-Colusa Canal","","","","","","","","08N_SA2","","True"
"08S_NA1","08S","SAC","0","Agriculture","","19453.062728191802","2","geopackage,calsim_report","calsim3","Non-district","","1","1","Sacramento River","D_SAC146_08S_NA1","Hamilton Bend to Sycamore Slough","154.0","134.0","Right","15600.0","8","08S_NA1","","True"
"08S_NA2","08S","SAC","0","Agriculture","","18221.158993416","3","geopackage,calsim_report","calsim3","Non-district","","1","1","Sacramento River","D_SAC129_08S_NA2","Sycamore Slough to Colusa Basin Drain Outfall","134.0","93.0","Right","","21","08S_NA2","","True"
"08S_PA","08S","SAC","0","Agriculture","PA","36083.8488773","1","geopackage,calsim_report","calsim3","Colusa Drain MWC (70% of total)","CVP","1","1","Colusa Basin Drain","","","","","","","","08S_PA","","True"
"08S_SA1","08S","SAC","0","Agriculture","SA","18436.88627108551","15","geopackage,calsim_report","calsim3","Maxwell ID (95% of total), Sycamore Family Trust, misc. settlement contractors","CVP","1","1","Sacramento River, Colusa Basin Drain CalSim 3 Main Report","","","","","","","","08S_SA1","","True"
"08S_SA2","08S","SAC","0","Agriculture","SA","73124.8637029","1","geopackage,calsim_report","calsim3","Glenn-Colusa ID (45% of total)","CVP","1","1","Glenn-Colusa Canal","","","","","","","","08S_SA2","","True"
"08S_SA3","08S","SAC","0","Agriculture","SA","66224.91156684","2","geopackage,calsim_report","calsim3","RD 108, River Garden Farms, misc. settlement contractors","CVP","1","1","Sacramento River","","","","","","","","08S_SA3","","True"
"09_NA","09","SAC","0","Agriculture","","59130.03008757999","4","geopackage,calsim_report","calsim3","Llano Seco Ranch (formerly Parrot Ranch), Dayton MWC, non- district","","1","1","Sacramento River, Butte Creek","D_SAC185_09_NA","Big Chico Creek to Butte Slough Outfall Gates","196.0","141.0","Left","5300.0","14","09_NA","","True"
"09_SA1","09","SAC","0","Agriculture","SA","7967.74410996","1","geopackage,calsim_report","calsim3","Pacific Realty Associates (formerly M&T Chico Ranch)","CVP","1","1","Sacramento River, Butte Creek","","","","","","","","09_SA1","","True"
"09_SA2","09","SAC","0","Agriculture","SA","29627.142983535403","19","geopackage,calsim_report","calsim3","RD 1004, Carter MWC, Jack Baber, misc. settlement contractors","CVP","1","1","Sacramento River, Butte Creek","","","","","","","","09_SA2","","True"
"10_NA","10","SAC","-1","Agriculture","","107819.2652039408","6","geopackage,calsim_report","calsim3","Rancho Esquon, Durham MWC, non-district","","1","1","Butte Creek","","","","","","","","10_NA","","True"
"11_NA","11","SAC","-1","Agriculture","","51650.18144695055","5","geopackage,calsim_report","calsim3","Sutter Butte MWC, non-district","","1","1","DWR Pump Station No. 2, Sutter Bypass","","","","","","","","11_NA","","True"
"11_SA1","11","SAC","-1","Agriculture","SA","60067.2274909","1","geopackage,calsim_report","calsim3","Western Canal WD","SWP","1","1","Thermalito Afterbay via Western Canal and PG&E lateral","","Sutter Extension Water District to Fish Barrier Dam","37.9","67.0","Right","5300.0","0","11_SA1","","True"
"11_SA2","11","SAC","-1","Agriculture","SA","33778.1936044","1","geopackage,calsim_report","calsim3","Richvale ID","SWP","1","1","Thermalito Afterbay via Richvale and Sutter-Butte canals","","","","","","","","11_SA2","","True"
"11_SA3","11","SAC","-1","Agriculture","SA","60772.822294900005","2","geopackage,calsim_report","calsim3","Biggs-West Gridley WD, Butte WD","SWP","1","1","Thermalito Afterbay via Sutter-Butte Canal","","","","","","","","11_SA3","","True"
"11_SA4","11","SAC","-1","Agriculture","SA","26271.3296326","1","geopackage,calsim_report","calsim3","Sutter Extension WD","SWP","1","1","Thermalito Afterbay via Sutter-Butte Canal and Sunset Pumps","","","","","","","","11_SA4","","True"
"12_NA","12","SAC","-1","Agriculture","","31349.9490499","1","geopackage,calsim_report","calsim3","Non-district","","1","1","Irrigation return flow from South Feather Water and Power Agency","","","","","","","","12_NA","","True"
"12_SA","","SAC","","Agriculture","","","0","calsim_report","calsim3","Misc. FRSA diverters","","0","1","Feather River","D_FTR059_12_SA","Honcut Creek to Fish Barrier Dam","44.8","67.0","Left","2500.0","6","12_SA","","False"
"13_NA","13","SAC","-1","Agriculture","","61567.7952893","2","geopackage,calsim_report","calsim3","South Feather Water and Power Agency, Yuba County WD","","1","1","South Fork Feather, Lost Creek Non-district N/A • - N/A","","","","","","","","13_NA","","True"
"14_NA","14","SAC","-1","Agriculture","","71631.08804676686","4","geopackage,calsim_report","calsim3","Browns Valley ID","Browns Valley ID","1","1","Yuba River, French Dry Creek","","","","","","","","14_NA","","True"
"15N_NA1","15N","SAC","-1","Agriculture","","18957.19100567","2","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","15N_NA1","","True"
"15N_NA2","15N","SAC","-1","Agriculture","","29341.94618249","3","geopackage,calsim_report","calsim3","Cordua ID, Hallwood ID, Ramirez WD","Yuba WA","1","1","Lower Yuba River at Daguerre Point Dam","","","","","","","","15N_NA2","","True"
"15N_SA","15N","SAC","-1","Agriculture","SA","672.192389385","1","geopackage,calsim_report","calsim3","Misc. FRSA diverters","","0","1","Feather River","D_FTR045_15N_SA","Yuba River to Honcut Creek","27.7","44.8","Left","1900.0","4","15N_SA","","True"
"15S_SA","15S","SAC","-1","Agriculture","SA","6012.80853912","1","geopackage,calsim_report","calsim3","Plumas MWC, misc. FRSA diverters","SWP","1","1","Feather River","D_FTR028_15S_SA","Yuba/Sutter county line to Yuba River","10.8","27.7","Left","1400.0","1","15S_SA","","True"
"15S_NA1","15S","SAC","-1","Agriculture","","50602.443373836875","4","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","15S_NA1","","True"
"15S_NA2","15S","SAC","-1","Agriculture","","42823.899466480005","4","geopackage,calsim_report","calsim3","Brophy WD, Dry Creek MWC, South Yuba WD, Wheatland WD","Yuba WA","1","1","Lower Yuba River at Daguerre Point Dam","","","","","","","","15S_NA2","","True"
"16_NA1","16","SAC","-1","Agriculture","","28259.458049128083","15","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","16_NA1","","True"
"16_NA2","16","SAC","-1","Agriculture","","10657.828266236727","21","geopackage,calsim_report","calsim3","Non-district","","1","0","East Borrow Canal Chapter 3: Demand Units August 2022 – 3-11 Table 3-3. Agricultural Demand Units in Sacramento River Hydrologic Region (contd.) Demand Unit Water District or Agency Water Provider Water Source","","","","","","","","16_NA2","","True"
"16_PA","16","SAC","-1","Agriculture","PA","8270.11649945","1","geopackage,calsim_report","calsim3","Feather WD","CVP","1","1","Feather River","","","","","","","","16_PA","","True"
"16_SA","16","SAC","-1","Agriculture","SA","7810.32152743","3","geopackage,calsim_report","calsim3","Garden Highway MWC, Tudor ID, Oswald WD, misc. FRSA diverters","SWP","1","1","Feather River","D_FTR008_SA","Sutter Bypass East Levee to Sutter Extension Water District","7.6","37.9","Right","4200.0","3","16_SA","","True"
"17N_NA","17N","SAC","-1","Agriculture","","31385.79012061","2","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","17N_NA","","True"
"17S_NA","17S","SAC","-1","Agriculture","","34463.394067222805","4","geopackage,calsim_report","calsim3","Non-district","","1","1","Butte Slough, Wadsworth Canal Sutter Bypass-Butte Slough WUA N/A • • Sutter Bypass","","","","","","","","17S_NA","","True"
"17S_SA","17S","SAC","-1","Agriculture","SA","92.8594559264","1","geopackage,calsim_report","calsim3","Misc. FRSA diverters and minor settlement contractors","","1","1","Feather River","D_FTR003_SA","River mouth to Sutter Bypass East Levee","0.0","7.6","Right","200.0","5","17S_SA","","True"
"18_NA","18","SAC","-1","Agriculture","","13968.60478554","3","geopackage,calsim_report","calsim3","Butte Slough Irrigation Company, Sutter Butte MWC, non- district","","1","1","Butte Creek, Sutter Bypass","D_SAC136_18_NA","Butte Slough Outfall Gates to Tisdale Weir","141.0","122.0","Left","1800.0","5","18_NA","","True"
"18_SA","18","SAC","-1","Agriculture","SA","20825.4531995685","20","geopackage,calsim_report","calsim3","Meridian Farms WC, Lomo Cold Storage, Sutter MWC (5%), Tisdale IDC, misc. settlement contractors","CVP","1","1","Sacramento River","","","","","","","","18_SA","","True"
"19_SA","19","SAC","-1","Agriculture","SA","67136.66839168391","40","geopackage,calsim_report","calsim3","Bardis et al., Pelger MWC, Sutter MWC (95% of total), misc. settlement contractors","CVP","1","1","Sacramento River","","","","","","","","19_SA","","True"
"20_NA1","20","SAC","-1","Agriculture","","180616.458097","1","geopackage,calsim_report","calsim3","Yolo County FC&WCD","","1","1","Cache Creek at Capay Diversion Dam","","","","","","","","20_NA1","","True"
"20_NA2","20","SAC","-1","Agriculture","","109610.850115","1","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","20_NA2","","True"
"20_PA","20","SAC","-1","Agriculture","PA","2770.62916266","1","geopackage,calsim_report","calsim3","University of California, Davis","Solano County WA","1","1","Putah South Canal","","","","","","","","20_PA","","True"
"21_NA","21","SAC","-1","Agriculture","","18303.450627891318","8","geopackage,calsim_report","calsim3","Non-district","","1","1","Sacramento River","D_SAC081_21_NA","Colusa Basin Drain to Sacramento Bypass","93.0","66.0","Right","9700.0","13","21_NA","","True"
"21_PA","21","SAC","-1","Agriculture","PA","11810.3900381","1","geopackage,calsim_report","calsim3","Colusa Drain MWC (22% of total)","CVP","1","1","Knights Landing Ridge Cut","","","","","","","","21_PA","","True"
"21_SA","21","SAC","-1","Agriculture","SA","23244.258774006","14","geopackage,calsim_report","calsim3","Conaway Conservancy Group, misc. settlement contractors","","1","1","Sacramento River, Cache Creek, Yolo Bypass","","","","","","","","21_SA","","True"
"22_NA","22","SAC","-1","Agriculture","","12525.1902554","1","geopackage,calsim_report","calsim3","Non-district","","1","1","Sacramento River","D_SAC075_22_NA","Feather River to American River","83.0","63.0","Left","2200.0","1","22_NA","","True"
"22_SA1","22","SAC","-1","Agriculture","SA","39482.5883514603","12","geopackage,calsim_report","calsim3","Natomas Central MWC, Pleasant Grove-Verona MWC, misc. settlement contractors","CVP","1","1","Sacramento River, Cross-Canal","","","","","","","","22_SA1","","True"
"22_SA2","","SAC","","Agriculture","","","0","calsim_report","calsim3","Misc. FRSA diverters","","0","1","Feather River","","","","","","","","22_SA2","","False"
"23_NA","23","SAC","-1","Agriculture","","76886.69441613","3","geopackage,calsim_report","calsim3","Camp Far West ID, South Sutter WD, non-district","South Sutter WD","1","1","Bear River","","","","","","","","23_NA","","True"
"24_NA1","24","SAC","-1","Agriculture","","55244.258073","1","geopackage,calsim_report","calsim3","Nevada ID","Nevada ID","1","1","Combie Canal, Auburn Ravine","","","","","","","","24_NA1","","True"
"24_NA2","24","SAC","-1","Agriculture","","53533.052815890005","2","geopackage,calsim_report","calsim3","Placer County WA Zone 5, non-district","Placer County WA","1","1","Auburn Ravine","","","","","","","","24_NA2","","True"
"24_NA3","24","SAC","-1","Agriculture","","31928.582687067697","3","geopackage,calsim_report","calsim3","Placer County WA Zone 1","Placer County WA","1","1","Lower Boardman Canal, South Canal","","","","","","","","24_NA3","","True"
"25_NA","25","SAC","-1","Agriculture","","173617.91083621903","29","geopackage,calsim_report","calsim3","North Delta WA, non-district","","1","1","Delta channels including Barker Slough","","","","","","","","25_NA","","True"
"25_PA1","25","SAC","-1","Agriculture","PA","57821.4122373","1","geopackage,calsim_report","calsim3","Solano ID (77% of total)","Reclamation","1","1","Putah Creek CalSim 3 Main Report","","","","","","","","25_PA1","","True"
"25_PA2","25","SAC","-1","Agriculture","PA","15062.7142368","1","geopackage,calsim_report","calsim3","Maine Prairie WD","Reclamation","1","1","Putah South Canal","","","","","","","","25_PA2","","True"
"26N_NA","26N","SAC","-1","Agriculture","","2899.74572081","1","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","26N_NA","","True"
"26S_NA","26S","SAC","-1","Agriculture","","44744.20094963501","29","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","26S_NA","","True"
"CULOS","","SAC","","Agriculture","","","0","calsim_report","calsim3","Miscellaneous agriculture in upper Feather River watershed","","0","1","Feather River","","","","","","","","CULOS","","False"
"GDPUD_NA","","SAC","","Agriculture","","","0","calsim_report","calsim3","Georgetown Divide PUD","","0","1","Stumpy Meadows Reservoir, Pilot Creek","","","","","","","","GDPUD_NA","","False"
"LCCWD","","SAC","","Agriculture","","","0","calsim_report","calsim3","Little Last Chance ID","","0","1","Little Last Chance Creek","","","","","","","","LCCWD","","False"
"NIDBR_NA","","SAC","","Agriculture","","","0","calsim_report","calsim3","","Nevada ID","0","1","Combie Reservoir, Bear River","","","","","","","","NIDBR_NA","","False"
"NIDDC_NA1","","SAC","","Agriculture","","","0","calsim_report","calsim3","","Nevada ID","0","1","Scott Flat Reservoir, Deer Creek","","","","","","","","NIDDC_NA1","","False"
"NIDDC_NA2","","SAC","","Agriculture","","","0","calsim_report","calsim3","","Nevada ID","0","1","Scott Flat Reservoir, Deer Creek","","","","","","","","NIDDC_NA2","","False"
"NIDDC_NA3","","SAC","","Agriculture","","","0","calsim_report","calsim3","","Nevada ID","0","1","Wolf Creek","","","","","","","","NIDDC_NA3","","False"
"PUTAH","","SAC","","Agriculture","","","0","calsim_report","calsim3","Miscellaneous agriculture in upper Putah Creek watershed","","0","1","Putah Creek","","","","","","","","PUTAH","","False"
"SIDSH","","SAC","","Agriculture","","","0","calsim_report","calsim3","Solano ID (23% of total)","Solano County WA","1","1","Putah South Canal","","","","","","","","SIDSH","","False"
"50_PA1","50","SJR","0","Agriculture","PA","22013.88977459635","14","geopackage,calsim_report","calsim3","Banta-Carbona ID","CVP","1","1","Delta-Mendota Canal, San Joaquin River West Side ID CVP • • Delta-Mendota Canal","","","","","","","","50_PA1","","True"
"50_PA2","50","SJR","0","Agriculture","PA","16639.98913511907","8","geopackage,calsim_report","calsim3","Byron-Bethany ID (excluding former Plainview ID service area)","","0","1","Clifton Court Forebay","","","","","","","","50_PA2","","True"
"60N_NA1","60N","SJR","-1","Agriculture","","11180.913328","1","geopackage,calsim_report","calsim3","Jackson Valley ID","","1","1","Pardee Reservoir via Lake Amador, Jackson Creek","","","","","","","","60N_NA1","","True"
"60N_NA2","60N","SJR","-1","Agriculture","","67027.5145620238","6","geopackage,calsim_report","calsim3","Omochumne-Hartnell WD, Clay WD, Galt ID","","1","1","Folsom South Canal","","","","","","","","60N_NA2","","True"
"60N_NA3","60N","SJR","-1","Agriculture","","48921.77804953042","2","geopackage,calsim_report","calsim3","North San Joaquin WCD","","1","1","Mokelumne River","","","","","","","","60N_NA3","","True"
"60N_NA4","60N","SJR","-1","Agriculture","","28215.14730164876","36","geopackage,calsim_report","calsim3","Woodbridge ID, Woodbridge Users Association","","1","1","Mokelumne River","","","","","","","","60N_NA4","","True"
"60N_NA5","60N","SJR","-1","Agriculture","","274532.29069290805","13","geopackage,calsim_report","calsim3","Non-district, riparian diverters","","1","1","","","","","","","","","60N_NA5","","True"
"60S_NA1","60S","SJR","-1","Agriculture","","48371.00549148862","2","geopackage,calsim_report","calsim3","Non-district east","","1","0","","","","","","","","","60S_NA1","","True"
"60S_NA2","60S","SJR","-1","Agriculture","","8773.26124702","1","geopackage,calsim_report","calsim3","Non-district west","","1","0","","","","","","","","","60S_NA2","","True"
"60S_PA1","60S","SJR","-1","Agriculture","PA","82910.22097735187","15","geopackage,calsim_report","calsim3","Stockton East WD CVP","Reclamation","1","1","Calaveras River, Stanislaus River at Goodwin Dam","","","","","","","","60S_PA1","","True"
"60S_PA2","60S","SJR","-1","Agriculture","PA","65971.9232173","1","geopackage,calsim_report","calsim3","Central San Joaquin WCD","CVP","1","1","Stanislaus River at Goodwin Dam, Littlejohns Creek","","","","","","","","60S_PA2","","True"
"61_NA1","61","SJR","-1","Agriculture","","104564.41031611132","8","geopackage,calsim_report","calsim3","Non-district east","","1","0","","","","","","","","","61_NA1","","True"
"61_NA2","61","SJR","-1","Agriculture","","77905.8188442145","3","geopackage,calsim_report","calsim3","Modesto ID","","1","1","Modesto Reservoir Stanislaus River at Goodwin Dam","","","","","","","","61_NA2","","True"
"61_NA3","61","SJR","-1","Agriculture","","3830.2743980747","8","geopackage,calsim_report","calsim3","Non-district, Tuolumne River riparian right bank diverters","","1","1","Tuolumne River","","","","","","","","61_NA3","","True"
"61_NA4","61","SJR","-1","Agriculture","","7815.17591173376","5","geopackage,calsim_report","calsim3","Non-district, Stanislaus River riparian diverters","","1","1","Stanislaus River","","","","","","","","61_NA4","","True"
"61_NA5","61","SJR","-1","Agriculture","","6942.58911612","1","geopackage,calsim_report","calsim3","Non-district, San Joaquin River riparian diverters between Tuolumne and Stanislaus rivers","","1","1","San Joaquin River, Modesto ID and Oakdale ID South return flows","","","","","","","","61_NA5","","True"
"61_NA6","61","SJR","-1","Agriculture","","12448.285904725","3","geopackage,calsim_report","calsim3","Non-district, San Joaquin River riparian diverters downstream from Stanislaus River confluence","","1","1","San Joaquin River","","","","","","","","61_NA6","","True"
"61_PA1","61","SJR","-1","Agriculture","PA","29116.5346334","1","geopackage,calsim_report","calsim3","Oakdale ID north","CVP","1","1","Stanislaus River at Goodwin Diversion Dam","","","","","","","","61_PA1","","True"
"61_PA2","61","SJR","-1","Agriculture","PA","41111.4057139511","3","geopackage,calsim_report","calsim3","Oakdale ID south","CVP","1","1","Stanislaus River at Goodwin Diversion Dam","","","","","","","","61_PA2","","True"
"61_PA3","61","SJR","-1","Agriculture","PA","61745.653722779105","4","geopackage,calsim_report","calsim3","South San Joaquin ID","CVP","1","1","Stanislaus River at Goodwin Diversion Dam","","","","","","","","61_PA3","","True"
"62_NA1","62","SJR","-1","Agriculture","","137203.1763032179","2","geopackage,calsim_report","calsim3","Non-district east","","1","0","","","","","","","","","62_NA1","","True"
"62_NA2","62","SJR","-1","Agriculture","","3140.5896370227","5","geopackage,calsim_report","calsim3","Non-district, Merced River riparian right bank diverters","","1","1","Merced River","","","","","","","","62_NA2","","True"
"62_NA3","62","SJR","-1","Agriculture","","170770.23727083072","18","geopackage,calsim_report","calsim3","Turlock ID","","1","1","Tuolumne River at La Grange Dam","","","","","","","","62_NA3","","True"
"62_NA4","62","SJR","-1","Agriculture","","3442.8560949074","3","geopackage,calsim_report","calsim3","Non-district, Tuolumne River riparian left bank diverters","","1","1","Tuolumne River","","","","","","","","62_NA4","","True"
"62_NA5","62","SJR","-1","Agriculture","","12227.442022595049","7","geopackage,calsim_report","calsim3","Non-district, San Joaquin River riparian diverters between Merced and Tuolumne rivers","","1","1","San Joaquin River","","","","","","","","62_NA5","","True"
"62_NA6","62","SJR","-1","Agriculture","","5415.6120621953","4","geopackage,calsim_report","calsim3","Merced ID (3.5% of total, north of Merced River)","","1","1","Merced River at Crocker-Huffman Dam","","","","","","","","62_NA6","","True"
"63_NA1","63","SJR","-1","Agriculture","","157412.671135","1","geopackage,calsim_report","calsim3","Non-district east","","1","0","","","","","","","","","63_NA1","","True"
"63_NA2","63","SJR","-1","Agriculture","","4808.60863404","1","geopackage,calsim_report","calsim3","Non-district, Merced riparian left bank diverters","","1","1","Merced River","","","","","","","","63_NA2","","True"
"63_NA3","63","SJR","-1","Agriculture","","131834.06422949274","20","geopackage,calsim_report","calsim3","Merced ID (96.5% of total, south of Merced River)","","1","1","Merced River at Crocker-Huffman Dam","","","","","","","","63_NA3","","True"
"63_NA4","63","SJR","-1","Agriculture","","189599.20903350654","5","geopackage,calsim_report","calsim3","Non-district West, Plainsburg ID, La Grande-Athlone WD, Turner Island WD, Stevinson WD, Merced River riparian diverters","","1","1","San Joaquin River, Merced River","","","","","","","","63_NA4","","True"
"63_NA5","","SJR","","Agriculture","","","0","calsim_report","calsim3","El Nido ID","Merced ID","1","1","Merced River, Deadman Creek","","","","","","","","63_NA5","","False"
"64_NA1","64","SJR","-1","Agriculture","","154854.41012087418","25","geopackage,calsim_report","calsim3","Non-district east","","1","0","","","","","","","","","64_NA1","","True"
"64_NA2","64","SJR","-1","Agriculture","","135076.9295315987","2","geopackage,calsim_report","calsim3","Non-district west","","1","1","San Joaquin at Gravelly Ford, Fresno River, Chowchilla WD and Madera ID return flows","","","","","","","","64_NA2","","True"
"64_PA1","64","SJR","-1","Agriculture","PA","122882.43023312115","19","geopackage,calsim_report","calsim3","Madera ID, Madera WD","CVP","1","1","Madera Canal, Fresno River","","","","","","","","64_PA1","","True"
"64_PA2","64","SJR","-1","Agriculture","PA","82661.43853180701","6","geopackage,calsim_report","calsim3","Chowchilla WD","CVP","1","1","Madera Canal, Chowchilla River","","","","","","","","64_PA2","","True"
"64_PA3","64","SJR","-1","Agriculture","PA","17393.63735032","2","geopackage,calsim_report","calsim3","Gravelly Ford WD, Root Creek WD","CVP","1","1","San Joaquin at Gravelly Ford, Madera Canal","","","","","","","","64_PA3","","True"
"64_XA","64","SJR","-1","Agriculture","XA","15869.4503286","1","geopackage,calsim_report","calsim3","Columbia Canal Company","CVP","1","1","Mendota Pool","","","","","","","","64_XA","","True"
"71_NA1","71","SJR","-1","Agriculture","","9336.14742847","1","geopackage,calsim_report","calsim3","Non-district San Joaquin River riparian diverters (Orestimba Creek to Del Puerto Creek)","","1","1","San Joaquin River","","","","","","","","71_NA1","","True"
"71_NA2","71","SJR","-1","Agriculture","","17195.06840603826","5","geopackage,calsim_report","calsim3","El Solyo WD and non-district San Joaquin River riparian diverters (Del Puerto Creek to Vernalis)","","1","1","San Joaquin River","","","","","","","","71_NA2","","True"
"71_NA3","71","SJR","-1","Agriculture","","39772.63297028973","130","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","71_NA3","","True"
"71_PA1","71","SJR","-1","Agriculture","PA","13240.4704404","1","geopackage,calsim_report","calsim3","Hospital WD","CVP","1","1","Delta-Mendota Canal","","","","","","","","71_PA1","","True"
"71_PA2","71","SJR","-1","Agriculture","PA","22126.002017168","2","geopackage,calsim_report","calsim3","West Stanislaus ID","CVP","1","1","Delta-Mendota Canal","","","","","","","","71_PA2","","True"
"71_PA3","71","SJR","-1","Agriculture","PA","3183.96948181","1","geopackage,calsim_report","calsim3","Kern Cañon WD","CVP","1","1","Delta-Mendota Canal","","","","","","","","71_PA3","","True"
"71_PA4","71","SJR","-1","Agriculture","PA","13778.4879653","1","geopackage,calsim_report","calsim3","Patterson ID","CVP","1","1","Delta-Mendota Canal, San Joaquin River","","","","","","","","71_PA4","","True"
"71_PA5","71","SJR","-1","Agriculture","PA","20759.831155712","7","geopackage,calsim_report","calsim3","Del Puerto WD, Salado WD, Orestimba WD, Sunflower WD","CVP","1","1","Delta-Mendota Canal","","","","","","","","71_PA5","","True"
"71_PA6","71","SJR","-1","Agriculture","PA","18281.0621954202","11","geopackage,calsim_report","calsim3","Davis WD, Foothill WD, Mustang WD, Quinto WD, Romero WD, Centinella WD","CVP","1","1","Delta-Mendota Canal","","","","","","","","71_PA6","","True"
"71_PA7","71","SJR","-1","Agriculture","PA","4716.103641209","3","geopackage,calsim_report","calsim3","Oak Flat WD","SWP","1","1","California Aqueduct","","","","","","","","71_PA7","","True"
"71_PA8","71","SJR","-1","Agriculture","PA","6913.570265561768","9","geopackage,calsim_report","calsim3","Byron-Bethany ID (area which was formerly Plainview ID)","CVP","1","1","Clifton Court, Delta-Mendota Canal","","","","","","","","71_PA8","","True"
