short_code,calsim_id,node_type_id,name,description,riv_mi,riv_name,comment,c2vsim_gw,c2vsim_sw,type,sub_type,nrest_gage,strm_code,rm_ii,hydrologic_region_id,latitude,longitude,model_source_id,source_id,parent_node_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
SAC182,SAC182,7,SAC182,C2VSIM Node,182.0,Sacramento River,C2VSIM Node,155,276.0,CH,STM,,SAC,182.0,1,39.5965591120091,-121.999124612268,1,4,,1,12,True,connected,True
SAC178,SAC178,7,SAC178,C2VSIM Node. Sidds Landing Pump Station.,178.0,Sacramento River,C2VSIM Node. Sidds Landing Pump Station.,171,277.0,CH,STM,,SAC,178.0,1,39.5539353086115,-122.002016930546,1,4,,1,12,True,connected,True
SAC174,SAC174,7,SAC174,C2VSIM Node,174.0,Sacramento River,C2VSIM Node,186,278.0,CH,STM,,SAC,174.0,1,39.5083918257702,-121.994052925022,1,4,,1,12,True,connected,True
SAC168,SAC168,7,SAC168,C2VSIM Node (Should probably be located at real RM159.5 [Maxwell Pump Station])??,168.0,Sacramento River,C2VSIM Node (Should probably be located at real RM159.5 [Maxwell Pump Station])??,202,279.0,CH,STM,,SAC,168.0,1,39.4404414193437,-121.996831601391,1,4,,1,12,True,connected,True
SAC162,SAC162,7,SAC162,C2VSIM Node,162.0,Sacramento River,C2VSIM Node,221,280.0,CH,STM,,SAC,162.0,1,39.3698619797046,-122.01105479363,1,4,,1,12,True,connected,True
SAC159,SAC159,6,SAC159,Maxwell Pump Station - Diversion to 8NS. SACTO R AT MOULTON WEIR (CREST 76.8')',159.34,Sacramento River,Maxwell Pump Station - Diversion to 8NS. SACTO R AT MOULTON WEIR (CREST 76.8')',,,CH,SG,11389350 / DWR A0-2986 (MLW),SAC,159.0,1,39.3399545533528,-122.030081136515,1,4,,1,12,True,connected,True
SAC154,SAC154,7,SAC154,C2VSIM Node,154.0,Sacramento River,C2VSIM Node,240,281.0,CH,STM,,SAC,154.0,1,39.2886594913749,-122.014603801811,1,4,,1,12,True,connected,True
SAC141,SAC141,7,SAC141,Butte Creek Confluence,140.63,Sacramento River,Butte Creek Confluence,262,294.0,CH,STM,,SAC,141.0,1,39.1938708156423,-121.937387278281,1,4,,1,12,True,connected,True
SAC134,SAC134,7,SAC134,C2VSIM Node,134.0,Sacramento River,C2VSIM Node,269,295.0,CH,STM,,SAC,134.0,1,39.1308394291463,-121.935511657673,1,4,,1,12,True,connected,True
SAC129,SAC129,7,SAC129,C2VSIM Node,129.0,Sacramento River,C2VSIM Node,277,296.0,CH,STM,,SAC,129.0,1,39.0829003056676,-121.891681384946,1,4,,1,12,True,connected,True
SAC148,SAC148,6,SAC148,Colusa Weir. Colusa Weir Spill to Butte Basin near Colusa.,148.0,Sacramento River,Colusa Weir. Colusa Weir Spill to Butte Basin near Colusa.,254,282.0,CH,SG,11389470 / DWR A0-2981,SAC,148.0,1,39.2321213616247,-121.998302746115,1,4,,1,12,True,connected,True
SAC122,SAC122,7,SAC122,Tisdale Weir,121.76,Sacramento River,Tisdale Weir,291,297.0,CH,STM,,SAC,122.0,1,39.0239923617066,-121.822414974841,1,4,,1,12,True,connected,True
SAC121,SAC121,7,SAC121,Diversion to RD108 at Wilkins Slough,120.87,Sacramento River,Diversion to RD108 at Wilkins Slough,,,CH,STM,11390500,SAC,121.0,1,39.0124579834957,-121.826503802137,1,4,,1,12,True,connected,True
SAC115,SAC115,7,SAC115,C2VSIM Node (Pelger Pump Station),114.72,Sacramento River,C2VSIM Node (Pelger Pump Station),303,298.0,CH,STM,,SAC,115.0,1,38.9602016175127,-121.832183561285,1,4,,1,12,True,connected,True
SAC106,SAC106,7,SAC106,C2VSIM Node,106.0,Sacramento River,C2VSIM Node,315,299.0,CH,STM,,SAC,106.0,1,38.8935718072021,-121.805527183036,1,4,,1,12,True,connected,True
SAC097,SAC097,7,SAC097,C2VSIM Node (State Ranch Bend  Pump Station??),97.0,Sacramento River,C2VSIM Node (State Ranch Bend  Pump Station??),327,300.0,CH,STM,,SAC,97.0,1,38.8529855577311,-121.727927118583,1,4,,1,12,True,connected,True
SAC092,SAC092,6,SAC092,Gage on Sacramento River at Knights Landing.,92.45,Sacramento River,Gage on Sacramento River at Knights Landing.,339,301.0,CH,SG,11391000 / DWR (KNL),SAC,92.0,1,38.8023698689312,-121.715008369431,1,4,,1,12,True,connected,True
SAC085,SAC085,7,SAC085,Closure Term (Knights Landing [actullay several miles upstream]) Sutter Bypass Return and Yolo Bypass begin (Fremont Weir),85.49,Sacramento River,Closure Term (Knights Landing [actullay several miles upstream]) Sutter Bypass Return and Yolo Bypass begin (Fremont Weir),349,331.0,CH,STM,,SAC,85.0,1,38.7644945180865,-121.651342971234,1,4,,1,12,True,connected,True
SAC083,SAC083,7,SAC083,Feather River Confluence. Schematic indicates spill from here to YBP050 C2VSIM Node.,82.67,Sacramento River,Feather River Confluence. Schematic indicates spill from here to YBP050 C2VSIM Node.,350,332.0,CH,STM,,SAC,83.0,1,38.784869143643,-121.621761444832,1,4,,1,12,True,connected,True
SAC082,SAC082,7,SAC082,Cross Canal (includes Auburn Ravine) confluence,81.69,Sacramento River,Cross Canal (includes Auburn Ravine) confluence,351,368.0,CH,STM,,SAC,82.0,1,38.7795450486475,-121.605164076665,1,4,,1,12,True,connected,True
SAC081,SAC081,6,SAC081,C2VSIM Node. Sacramento River at Verona. USGS11425500/DWRA02150,81.16,Sacramento River,C2VSIM Node. Sacramento River at Verona. USGS11425500/DWRA02150,363,369.0,CH,SG,11425500,SAC,81.0,1,38.7735104026027,-121.599073558659,1,4,,1,12,True,connected,True
SAC077,SAC077,7,SAC077,SRWRS diversion (Future),77.0,Sacramento River,SRWRS diversion (Future),,,CH,STM,,SAC,77.0,1,38.7164385163857,-121.607298825016,1,4,,1,12,True,connected,True
SAC078,SAC078,7,SAC078,Natomas Central MWC diversion point (Pritchard Lake Pump Station),78.0,Sacramento River,Natomas Central MWC diversion point (Pritchard Lake Pump Station),362,370.0,CH,STM,,SAC,78.0,1,38.7305658531,-121.604302478143,1,4,,1,12,True,connected,True
SAC074,SAC074,7,SAC074,RD2035 Diversion/Pump Station,73.63,Sacramento River,RD2035 Diversion/Pump Station,,,CH,STM,,SAC,74.0,1,38.6766490852198,-121.629845113154,1,4,,1,12,True,connected,True
SAC066,SAC066,6,SAC066,Sacramento Weir spill to Yolo Bypass. USGS11426000/DWRA02903,66.0,Sacramento River,Sacramento Weir spill to Yolo Bypass. USGS11426000/DWRA02903,372,372.0,CH,SG,11426000,SAC,66.0,1,38.6047409104687,-121.555463476641,1,4,,1,12,True,connected,True
SAC063,SAC063,7,SAC063,American River confluence,62.9,Sacramento River,American River confluence,373,373.0,CH,STM,,SAC,63.0,1,38.5971130042876,-121.50875277147,1,4,,1,12,True,connected,True
SAC062,SAC062,7,SAC062,Sacramento WTP diversion,62.51,Sacramento River,Sacramento WTP diversion,,,CH,STM,,SAC,62.0,1,38.5916735740306,-121.507074426313,1,4,,1,12,True,connected,True
SAC057,SAC057,7,SAC057,C2VSIM Node,57.0,Sacramento River,C2VSIM Node,416,382.0,CH,STM,,SAC,57.0,1,38.5255691228497,-121.528789893363,1,4,,1,12,True,connected,True
SAC053,SAC053,7,SAC053,C2VSIM Node,53.0,Sacramento River,C2VSIM Node,435,383.0,CH,STM,,SAC,53.0,1,38.4883857143412,-121.552233994697,1,4,,1,12,True,connected,True
SAC048,SAC048,7,SAC048,C2VSIM Node.,48.0,Sacramento River,C2VSIM Node.,451,384.0,CH,STM,,SAC,48.0,1,38.4434531570368,-121.501714508218,1,4,,1,12,True,connected,True
WTPEDH,WTPEDH,27,WTPEDH,El Dorado Hills Water Treatment Plant,,,El Dorado Hills Water Treatment Plant,,,WTP,,,,,1,38.7232543663534,-121.086898021453,1,4,,1,12,True,connected,True
ELDID,ELDID,13,ELDID,El Dorado ID (Off-Model Node),,,El Dorado ID (Off-Model Node),,,OM,OMD,,,,1,38.6832549654432,-121.060110371758,1,4,,1,12,True,connected,True
EDWWTP,EDWWTP,29,EDWWTP,El Dorado Hills Wastewater Treatment Facility,,,El Dorado Hills Wastewater Treatment Facility,,,WWTP,,,,,1,38.6372214091378,-121.059431903482,1,4,,1,12,True,connected,True
26N_NU3,26N_NU3,18,26N_NU3,City of Sacramento north of American River,,,City of Sacramento north of American River,,,PR,U,,,,1,38.6469038993999,-121.456997556927,1,4,,1,12,True,connected,True
BRR023,BRR023,7,BRR023,Garden Bar Proposed Damsite,23.22,Bear River,Garden Bar Proposed Damsite,,,CH,STM,,BRR,23.0,1,39.0222080157125,-121.239761450365,1,4,,1,12,True,connected,True
BRR028,BRR028,7,BRR028,Conceptual CalSimII node representation,28.0,Bear River,Conceptual CalSimII node representation,,,CH,STM,,BRR,28.0,1,39.018861951341,-121.174441766308,1,4,,1,12,True,connected,True
SAC041,SAC041,6,SAC041,"C2VSIM Node at Hood. DWR 'SRD"" gage at Hood.  USGS11447810 at MP38.8",41.0,Sacramento River,"C2VSIM Node at Hood. DWR 'SRD"" gage at Hood.  USGS11447810 at MP38.8",463,385.0,CH,SG,11447810,SAC,41.0,1,38.3674143657276,-121.521252752538,1,4,,1,12,True,connected,True
SAC036,SAC036,7,SAC036,C2VSIM Node,36.0,Sacramento River,C2VSIM Node,475,386.0,CH,STM,,SAC,36.0,1,38.3178902817963,-121.577526044834,1,4,,1,12,True,connected,True
SAC030,SAC030,7,SAC030,Delta Cross Channel diversion,29.72,Sacramento River,Delta Cross Channel diversion,476,387.0,CH,STM,,SAC,30.0,1,38.2470594438121,-121.510648297646,1,4,,1,12,True,connected,True
SAC022,SAC022,7,SAC022,C2VSIM Node,22.0,Sacramento River,C2VSIM Node,493,388.0,CH,STM,,SAC,22.0,1,38.181650689512,-121.586887169932,1,4,,1,12,True,connected,True
SAC017,SAC017,7,SAC017,Yolo Bypass/Lindsey-Barker Slough confluence??,16.75,Sacramento River,Yolo Bypass/Lindsey-Barker Slough confluence??,492,389.0,CH,STM,,SAC,17.0,1,38.1757504709747,-121.667472149724,1,4,,1,12,True,connected,True
SAC007,SAC007,7,SAC007,C2VSIM Node,7.0,Sacramento River,C2VSIM Node,526,415.0,CH,STM,,SAC,7.0,1,38.0706825560986,-121.775110561943,1,4,,1,12,True,connected,True
SAC003,SAC003,7,SAC003,C2VSIM Node,3.0,Sacramento River,C2VSIM Node,525,416.0,CH,STM,,SAC,3.0,1,38.0663729682608,-121.842841474755,1,4,,1,12,True,connected,True
SAC000,SAC000,7,SAC000,Sacramento/San Joaquin confluence??,0.0,San Joaquin River,Sacramento/San Joaquin confluence??,531,204.0,CH,STM,,SAC,0.0,1,38.0459754637337,-121.890585593529,1,4,,1,12,True,connected,True
OMR027,OMR027,7,OMR027,Conceptual common diversion for Banks and Jones (formerly Tracy) Pumping Stations,27.26,Old/Middle Rivers,Conceptual common diversion for Banks and Jones (formerly Tracy) Pumping Stations,,,CH,STM,,OMR,27.0,1,37.8295805795633,-121.552334011987,1,4,,1,12,True,connected,True
CAA000,CAA000,2,CAA000,Clifton Court Forebay,0.0,California Aqueduct,Clifton Court Forebay,,,CH,CNL,,CAA,0.0,1,37.8376506898927,-121.593925321992,1,4,,1,12,True,connected,True
DMC003,DMC003,2,DMC003,"C2VSIM node. C.W. ""Bill"" Jones (formerly Tracy) Pumping Plant",2.52,Delta-Mendota Canal,"C2VSIM node. C.W. ""Bill"" Jones (formerly Tracy) Pumping Plant",590,,CH,CNL,,DMC,3.0,2,37.7966736163118,-121.585366536309,1,4,,1,12,True,connected,True
CLR009,CLR009,7,CLR009,Return from 2_PA,9.0,Clear Creek,Return from 2_PA,,,CH,STM,,CLR,9.0,1,40.5014059412439,-122.501470699525,1,4,,1,12,True,connected,True
WTPTAB,WTPTAB,27,WTPTAB,Travis AFB Water Treatment Plant,,,Travis AFB Water Treatment Plant,,,WTP,,,,,1,38.2837577515709,-121.949130591741,1,4,,1,12,True,connected,True
TVAFB,TVAFB,13,TVAFB,Travis Air Force Base,,,Travis Air Force Base,,,OM,OMD,,,,1,38.2579275139284,-121.948440074103,1,4,,1,12,True,connected,True
FRFLD,FRFLD,13,FRFLD,City of Fairfield,,,City of Fairfield,,,OM,OMD,,,,1,38.2717457740705,-122.047032545788,1,4,,1,12,True,connected,True
SUISN,SUISN,13,SUISN,Suisun City,,,Suisun City,,,OM,OMD,,,,1,38.2802247914972,-122.018533746844,1,4,,1,12,True,connected,True
NAPA,NAPA,13,NAPA,"Napa, Yountville, Calistoga",,,"Napa, Yountville, Calistoga",,,OM,OMD,,,,1,38.2705426941832,-122.286312521463,1,4,,1,12,True,connected,True
AMCYN,AMCYN,13,AMCYN,City of American Canyon,,,City of American Canyon,,,OM,OMD,,,,1,38.1826414191945,-122.256622021528,1,4,,1,12,True,connected,True
VLLJO,VLLJO,13,VLLJO,City of Vallejo,,,City of Vallejo,,,OM,OMD,,,,1,38.1152367408041,-122.240982535574,1,4,,1,12,True,connected,True
CLR011,CLR011,6,CLR011,Near USGS Gage - 11372000,10.61,Clear Creek,Near USGS Gage - 11372000,,,CH,SG,11372000,CLR,11.0,1,40.5124621720832,-122.525012458262,1,4,,1,12,True,connected,True
WKYTN,WKYTN,26,WKYTN,Whiskeytown Dam,18.0,Clear Creek,Whiskeytown Dam,,,STR,SIM,,,,1,40.5996758184056,-122.539710143206,1,4,,1,12,True,connected,True
COW003,COW003,6,COW003,C2VSIM Node near USGS Gage - 11374000,3.0,Cow Creek,C2VSIM Node near USGS Gage - 11374000,017,213.0,CH,SG,11374000,COW,3.0,1,40.5033060817407,-122.233030978574,1,4,,1,12,True,connected,True
COW007,COW007,7,COW007,Confluence of Cow Creek and Little Cow Creek downstream of Little Cow Creek USGS Gage - 11373500,7.48,Cow Creek,Confluence of Cow Creek and Little Cow Creek downstream of Little Cow Creek USGS Gage - 11373500,011,212.0,CH,STM,11373500,COW,7.0,1,40.5554280062246,-122.231260588078,1,4,,1,12,True,connected,True
COW014,COW014,7,COW014,C2VSIM Node downstream of USGS Gage - 11372200,14.0,Cow Creek,C2VSIM Node downstream of USGS Gage - 11372200,012,211.0,CH,STM,11372200,COW,14.0,1,40.5430043315197,-122.146041502604,1,4,,1,12,True,connected,True
CWD004,CWD004,7,CWD004,C2VSIM Node downstream of USGS Gage - 11375970,4.0,Cottonwood Creek,C2VSIM Node downstream of USGS Gage - 11375970,036,218.0,CH,STM,,CWD,4.0,1,40.3787344140679,-122.258537646668,1,4,,1,12,True,connected,True
CWD009,CWD009,7,CWD009,Confluence South Fork Cottonwood Creek downstream of USGS Gage - 11375815,8.5,Cottonwood Creek,Confluence South Fork Cottonwood Creek downstream of USGS Gage - 11375815,,,CH,STM,11375815,CWD,9.0,1,40.3728564548166,-122.327858605365,1,4,,1,12,True,connected,True
PYN001,PYN001,6,PYN001,C2VSIM Node near USGS Gage - 11377500,0.45,Paynes Creek,C2VSIM Node near USGS Gage - 11377500,046,225.0,CH,SG,11377500,PYN,1.0,1,40.2635354438835,-122.186585916633,1,4,,1,12,True,connected,True
ANT010,ANT010,7,ANT010,C2VSIM Node near USGS Gage - 11379000. About 0.5mi upstream of diversion dam,10.0,Antelope Creek,C2VSIM Node near USGS Gage - 11379000. About 0.5mi upstream of diversion dam,073,233.0,CH,STM,11379000,ANT,10.0,1,40.194981486645,-122.133339961667,1,4,,1,12,True,connected,True
MLC004,MLC004,7,MLC004,C2VSIM Node,4.0,Mill Creek,C2VSIM Node,087,244.0,CH,STM,,MLC,4.0,1,40.0519053963886,-122.054429762789,1,4,,1,12,True,connected,True
MLC006,MLC006,6,MLC006,C2VSIM Node above USGS Gage - 11381500,5.68,Mill Creek,C2VSIM Node above USGS Gage - 11381500,088,243.0,CH,SG,11381500,MLC,6.0,1,40.0546791599124,-122.024175150043,1,4,,1,12,True,connected,True
ELD005,ELD005,7,ELD005,C2VSIM Node,5.0,Elder Creek,C2VSIM Node,085,241.0,CH,STM,,ELD,5.0,1,40.0510495344975,-122.185216418239,1,4,,1,12,True,connected,True
ELD012,ELD012,7,ELD012,C2VSIM Node near USGS Gage - 11380000,12.0,Elder Creek,C2VSIM Node near USGS Gage - 11380000,084,240.0,CH,STM,11380000,ELD,12.0,1,40.0316809826158,-122.290900598942,1,4,,1,12,True,connected,True
DEE023,DEE023,6,DEE023,,22.92,Deer Creek (South),,,,CH,SG,11335700,DEE,23.0,2,38.5513172729983,-121.11010220383,1,4,,1,12,True,connected,True
02_SA,02_SA,22,02_SA,,,,,,,S,A,,,,1,40.4163643820677,-122.25217385285,1,4,,1,12,True,connected,True
SHSTA,SHSTA,26,SHSTA,Shasta Dam. Also represents historic flows from Sacramento River at Kennett. USGS11369500/DWRA2160,309.52,Sacramento River,Shasta Dam. Also represents historic flows from Sacramento River at Kennett. USGS11369500/DWRA2160,,,STR,SIM,11369500,,,1,40.7181896725562,-122.4188212638,1,4,,1,12,True,connected,True
KSWCK,KSWCK,26,KSWCK,Keswick Dam,299.39,Sacramento River,Keswick Dam,,,STR,SIM,,,,1,40.6120114707312,-122.446102831619,1,4,,1,12,True,connected,True
SAC296,SAC296,7,SAC296,ACID Diversion Dam,295.77,Sacramento River,ACID Diversion Dam,001,205.0,CH,STM,,SAC,296.0,1,40.5924251355763,-122.394336550936,1,4,,1,12,True,connected,True
SAC294,SAC294,7,SAC294,BVWD Wintu Pump Station,293.54,Sacramento River,BVWD Wintu Pump Station,005,206.0,CH,STM,,SAC,294.0,1,40.5921420404166,-122.36990328022,1,4,,1,12,True,connected,True
SAC287,SAC287,7,SAC287,Clear Creek Confluence,286.55,Sacramento River,Clear Creek Confluence,015,208.0,CH,STM,,SAC,287.0,1,40.5055001621677,-122.365126124773,1,4,,1,12,True,connected,True
SAC281,SAC281,7,SAC281,C2VSIM Node,281.0,Sacramento River,C2VSIM Node,022,209.0,CH,STM,,SAC,281.0,1,40.4703171592546,-122.288036348362,1,4,,1,12,True,connected,True
SAC277,SAC277,7,SAC277,Cow Creek Confluence,277.39,Sacramento River,Cow Creek Confluence,023,210.0,CH,STM,,SAC,277.0,1,40.4634401390916,-122.230868146631,1,4,,1,12,True,connected,True
SAC275,SAC275,7,SAC275,Bear Creek Confluence,274.88,Sacramento River,Bear Creek Confluence,029,216.0,CH,STM,,SAC,275.0,1,40.4352110633623,-122.203871880561,1,4,,1,12,True,connected,True
SAC269,SAC269,7,SAC269,Cottonwood Creek/Battle Creek Confluences (Cottonwood actually 2mi upstream)??,268.54,Sacramento River,Cottonwood Creek/Battle Creek Confluences (Cottonwood actually 2mi upstream)??,037,217.0,CH,STM,,SAC,269.0,1,40.3546854483798,-122.176067599642,1,4,,1,12,True,connected,True
SAC265,SAC265,7,SAC265,C2VSIM Node,265.0,Sacramento River,C2VSIM Node,045,223.0,CH,STM,,SAC,265.0,1,40.3218207650485,-122.207731071799,1,4,,1,12,True,connected,True
SAC259,SAC259,7,SAC259,C2VSIM Node,259.0,Sacramento River,C2VSIM Node,056,224.0,CH,STM,,SAC,259.0,1,40.3017312462748,-122.161780149703,1,4,,1,12,True,connected,True
SAC250,SAC250,7,SAC250,Paynes Creek Confluence,249.87,Sacramento River,Paynes Creek Confluence,067,229.0,CH,STM,,SAC,250.0,1,40.2590864896053,-122.187205975185,1,4,,1,12,True,connected,True
SAC247,SAC247,6,SAC247,C2VSIM Node,247.25,Sacramento River,C2VSIM Node,068,230.0,CH,SG,11378000,SAC,247.0,1,40.2319971009585,-122.182257852836,1,4,,1,12,True,connected,True
SAC240,SAC240,7,SAC240,Red Bluff Diversion Dam to TCC and CCL near USGS Gage - 11378930,240.0,Sacramento River,Red Bluff Diversion Dam to TCC and CCL near USGS Gage - 11378930,072,231.0,CH,STM,11378930,SAC,240.0,1,40.1533250020896,-122.203107268139,1,4,,1,12,True,connected,True
03_PU3,03_PU3,18,03_PU3,"City of Redding ""Buckeye""",,,"City of Redding ""Buckeye""",,,PR,U,,,,1,40.6403939255806,-122.396011463375,1,4,,1,12,True,connected,True
BCN005,BCN005,7,BCN005,,5.0,Bear Creek,,,,CH,STM,,BCN,5.0,1,40.481228207975,-122.155577549023,1,4,,1,12,True,connected,True
CWD003,CWD003,6,CWD003,,2.72,Cottonwood Creek,,,,CH,SG,11376000,CWD,3.0,1,40.3867928768809,-122.239227064288,1,4,,1,12,True,connected,True
ELD017,ELD017,7,ELD017,C2VSIM Node,17.0,Elder Creek,C2VSIM Node,083,239.0,CH,STM,,ELD,17.0,1,40.018265724261,-122.37303613256,1,4,,1,12,True,connected,True
ELD022,ELD022,7,ELD022,C2VSIM Node,22.0,Elder Creek,C2VSIM Node,082,238.0,CH,STM,,ELD,22.0,1,40.0190600327703,-122.441536454123,1,4,,1,12,True,connected,True
ELD027,ELD027,6,ELD027,Elder Creek Nr Pakenta,26.69,Elder Creek,Elder Creek Nr Pakenta,081,237.0,CH,SG,11379500,ELD,27.0,1,40.0246447065807,-122.510461309582,1,4,,1,12,True,connected,True
THM005,THM005,7,THM005,C2VSIM/CalSIM2 Node near USGS Gage - 11382100,5.0,Thomes Creek,C2VSIM/CalSIM2 Node near USGS Gage - 11382100,093,252.0,CH,STM,11382100,THM,5.0,1,39.9784573980231,-122.178204697842,1,4,,1,12,True,connected,True
THM012,THM012,7,THM012,C2VSIM Node,12.0,Thomes Creek,C2VSIM Node,092,251.0,CH,STM,,THM,12.0,1,39.9676812685153,-122.28788783764,1,4,,1,12,True,connected,True
THM017,THM017,7,THM017,C2VSIM Node,17.0,Thomes Creek,C2VSIM Node,091,250.0,CH,STM,,THM,17.0,1,39.9497026852993,-122.366344715221,1,4,,1,12,True,connected,True
THM021,THM021,7,THM021,C2VSIM Node,21.0,Thomes Creek,C2VSIM Node,101,249.0,CH,STM,,THM,21.0,1,39.9213543870827,-122.424301691039,1,4,,1,12,True,connected,True
THM028,THM028,6,THM028,Thomes Creek at Pakenta,27.8,Thomes Creek,Thomes Creek at Pakenta,,,CH,SG,11382000,THM,28.0,1,39.8871899048149,-122.527682561025,1,4,,1,12,True,connected,True
DRC012,DRC012,6,DRC012,Deer Creek near Vina,12.0,Deer Creek,Deer Creek near Vina,,,CH,SG,11383500,DRC,12.0,1,40.0136634493735,-121.945937657258,1,4,,1,12,True,connected,True
BCC004,BCC004,7,BCC004,C2VSIM Node,4.0,Big Chico Creek,C2VSIM Node,130,271.0,CH,STM,,BCC,4.0,1,39.7246036443292,-121.893655769104,1,4,,1,12,True,connected,True
BCC006,BCC006,7,BCC006,C2VSIM Node near USGS Gage - 11384200,6.0,Big Chico Creek,C2VSIM Node near USGS Gage - 11384200,131,270.0,CH,STM,11384200,BCC,6.0,1,39.7270627541166,-121.861001864266,1,4,,1,12,True,connected,True
BCC012,BCC012,6,BCC012,C2VSIM Node near USGS Gage - 11384004,12.0,Big Chico Creek,C2VSIM Node near USGS Gage - 11384004,132,269.0,CH,SG,11384004 / DWR A0-4250 (BIC),BCC,12.0,1,39.7671688028151,-121.778932724753,1,4,,1,12,True,connected,True
STN004,STN004,7,STN004,Glenn-Colusa Canal crossing C2VSIM Node,3.69,Stony Creek,Glenn-Colusa Canal crossing C2VSIM Node,128,267.0,CH,STM,,STN,4.0,1,39.710925993932,-122.007809202212,1,4,,1,12,True,connected,True
STN009,STN009,7,STN009,C2VSIM Node,9.0,Stony Creek,C2VSIM Node,127,266.0,CH,STM,,STN,9.0,1,39.7396875705154,-122.084566985652,1,4,,1,12,True,connected,True
STN014,STN014,7,STN014,0.6mi upstream of Tehama-Colusa Canal crossing. C2VSIM Node,14.0,Stony Creek,0.6mi upstream of Tehama-Colusa Canal crossing. C2VSIM Node,126,265.0,CH,STM,,STN,14.0,1,39.7573599651612,-122.16429371834,1,4,,1,12,True,connected,True
STN021,STN021,7,STN021,North Canal diversion. C2VSIM/CalSim2 Node,20.92,Stony Creek,North Canal diversion. C2VSIM/CalSim2 Node,125,264.0,CH,STM,,STN,21.0,1,39.7979927970884,-122.2638256968,1,4,,1,12,True,connected,True
STN026,STN026,6,STN026,South Canal diversion. C2VSIM/CalSim2 Node,25.63,Stony Creek,South Canal diversion. C2VSIM/CalSim2 Node,124,263.0,CH,SG,11388000,STN,26.0,1,39.8140458892088,-122.332129714952,1,4,,1,12,True,connected,True
BLKBT,BLKBT,26,BLKBT,Black Butte Reservoir,26.0,Stony Creek,Black Butte Reservoir,,,STR,SIM,,,,1,39.8143820958382,-122.338998414598,1,4,,1,12,True,connected,True
SGRGE,SGRGE,26,SGRGE,Stony Gorge Reservoir,49.0,Stony Creek,Stony Gorge Reservoir,,,STR,SIM,,,,1,39.5857905231362,-122.5324241499,1,4,,1,12,True,connected,True
EPARK,EPARK,26,EPARK,East Park Reservoir,66.93,Stony Creek,East Park Reservoir,,,STR,SIM,,,,1,39.3569096837984,-122.515505787681,1,4,,1,12,True,connected,True
BSL001,BSL001,7,BSL001,Actually Butte Slough.  C2VSIM Node,0.61,Butte Slough,Actually Butte Slough.  C2VSIM Node,263,292.0,CH,STM,,BSL,1.0,1,39.1987336606231,-121.92849182755,1,4,,1,12,True,connected,True
